"length"	"gene_num"	"phyla"	"in_num"	"out_num"	"quality"	"mro"	"mip"
"DuanJJ_2019_2__bin.20"	2905831	2716	"p__Bacillota_A"	124	25	85.11	0.554121695504181	2.6324942791762
"DuanJJ_2019_2__bin.21"	1998113	2034	"p__Bacillota_A"	141	18	81.49	0.605371276932432	2.01601830663616
"DuanJJ_2019_2__bin.23"	1662696	1576	"p__Bacillota_A"	126	16	98.56	0.581804682370058	1.68527841342487
"DuanJJ_2019_2__bin.2"	1845170	1785	"p__Bacillota_A"	134	22	88.91	0.600777540189233	1.63051106025934
"DuanJJ_2019_2__bin.34"	953568	1017	"p__Bacillota_A"	81	15	63.58	0.529833540158436	1.28024408848207
"DuanJJ_2019_2__bin.35"	2392539	2473	"p__Bacillota_A"	130	15	74.06	0.574415152823281	1.67841342486651
"DuanJJ_2019_2__bin.36"	2917925	2823	"p__Bacillota_A"	149	16	69.58	0.574822353632742	1.70205949656751
"DuanJJ_2019_2__bin.42"	1560003	1502	"p__Bacillota_A"	83	19	84.76	0.527984313790321	1.18215102974828
"DuanJJ_2019_2__bin.45"	1807939	1828	"p__Bacillota_A"	120	25	93.32	0.581436437783572	1.58642257818459
"DuanJJ_2019_2__bin.47"	1651017	1681	"p__Bacillota_A"	116	12	73.76	0.5575468475662	1.7304347826087
"DuanJJ_2019_2__bin.48"	2382959	2165	"p__Bacillota_A"	159	27	98.32	0.585258748625013	2.4463768115942
"DuanJJ_2019_2__bin.4"	1875357	1836	"p__Bacillota_A"	130	18	92.97	0.590900260469866	2.32372234935164
"DuanJJ_2019_2__bin.50"	1679362	1578	"p__Bacillota_A"	110	15	95.55	0.614017944634132	0.965827612509535
"DuanJJ_2019_2__bin.53"	1648243	1777	"p__Bacillota_A"	121	24	71.93	0.526574429124543	2.25491990846682
"DuanJJ_2019_2__bin.54"	2265295	2293	"p__Bacillota_A"	158	26	72.47	0.595012801386001	2.03905415713196
"DuanJJ_2019_2__bin.59"	2474520	2037	"p__Bacteroidota"	94	28	97.27	0.505293394929036	3.69931350114416
"DuanJJ_2019_2__bin.5"	1099595	1243	"p__Bacillota_A"	85	13	82.13	0.544197833986137	0.712585812356979
"DuanJJ_2019_2__bin.60"	2074455	2067	"p__Bacillota_A"	127	20	67.39	0.555241835248173	1.58810068649886
"DuanJJ_2019_2__bin.61"	2872844	2611	"p__Bacillota_A"	155	16	91.97	0.591324922702835	0.949046529366895
"DuanJJ_2019_2__bin.66"	1285471	1303	"p__Bacillota_A"	104	19	86.97	0.574812610451931	1.12250190694127
"DuanJJ_2019_2__bin.70"	1938532	1968	"p__Bacillota_A"	92	14	59.44	0.472002122847533	1.4695652173913
"DuanJJ_2019_2__bin.71"	861960	843	"p__Spirochaetota"	69	13	53.73	0.469680418670952	2.24805491990847
"DuanJJ_2019_2__bin.74"	2438435	2414	"p__Bacillota_A"	124	26	95.77	0.553503283052884	2.4047292143402
"DuanJJ_2019_3__bin.13"	2790191	2550	"p__Bacillota_A"	141	27	89.33	0.598499287224101	2.28497330282227
"DuanJJ_2019_3__bin.14"	1855549	1806	"p__Bacillota_C"	155	26	79.27	0.559524830100612	1.89443173150267
"DuanJJ_2019_3__bin.28"	2091837	1876	"p__Bacillota_A"	78	11	86.39	0.539079811111635	1.06758199847445
"DuanJJ_2019_3__bin.32"	2024276	1888	"p__Bacillota_A"	115	19	99.52	0.547976265634873	1.70129672006102
"DuanJJ_2019_3__bin.37"	1940758	1861	"p__Bacillota_A"	113	11	82.59	0.614396512175089	0.89443173150267
"DuanJJ_2019_3__bin.38"	1758864	1704	"p__Bacillota_A"	106	12	92.59	0.587041057947469	1.02944317315027
"DuanJJ_2019_3__bin.48"	3063650	2480	"p__Bacteroidota"	111	23	90.14	0.485581517162966	1.62105263157895
"DuanJJ_2019_3__bin.53"	2513523	2240	"p__Bacteroidota"	95	18	66.38	0.493500860688359	0.962471395881007
"DuanJJ_2019_3__bin.57"	2009508	1921	"p__Bacillota_A"	134	23	84.02	0.587736903090912	1.62456140350877
"DuanJJ_2019_3__bin.61"	2688801	2446	"p__Bacillota_A"	121	19	87.96	0.572344304490825	1.42501906941266
"DuanJJ_2019_3__bin.73"	2521581	2314	"p__Bacillota_A"	126	12	99.52	0.608389430884134	0.958352402745995
"DuanJJ_2019_3__bin.78"	2988011	2559	"p__Bacteroidota"	121	34	65.81	0.529025874668212	2.53562166285278
"DuanJJ_2019_3__bin.9"	2023488	1718	"p__Bacillota_A"	126	27	96.29	0.590566886788199	1.85736079328757
"DuanJJ_2019_4__bin.102"	2673691	2002	"p__Bacteroidota"	74	29	91.53	0.51308405726231	2.18093058733791
"DuanJJ_2019_4__bin.105"	2392661	2006	"p__Bacillota_A"	114	13	97.64	0.624730373850092	1.37620137299771
"DuanJJ_2019_4__bin.107"	1360492	1567	"p__Bacillota_A"	94	17	63.19	0.529505508438239	2.00366132723112
"DuanJJ_2019_4__bin.109"	2035144	1795	"p__Bacteroidota"	114	22	64.12	0.531831720520688	1.98947368421053
"DuanJJ_2019_4__bin.110"	3118360	2625	"p__Bacteroidota"	113	33	75.03	0.529694447107634	2.61311975591152
"DuanJJ_2019_4__bin.11"	2715433	2687	"p__Bacillota_A"	148	23	76.52	0.549522173523626	2.35575896262395
"DuanJJ_2019_4__bin.12"	1729446	1553	"p__Bacillota_A"	104	22	97.66	0.535920073947343	1.52601067887109
"DuanJJ_2019_4__bin.13"	1442433	1404	"p__Actinomycetota"	111	23	57.51	0.521712538504122	2.71014492753623
"DuanJJ_2019_4__bin.15"	1675375	1583	"p__Bacillota_A"	118	23	85.16	0.508188582397228	1.6091533180778
"DuanJJ_2019_4__bin.17"	2211554	2077	"p__Bacillota_A"	141	26	81.65	0.542213469839619	1.29458428680397
"DuanJJ_2019_4__bin.18"	2141402	1868	"p__Bacillota_A"	119	14	97.11	0.599035506053884	1.48268497330282
"DuanJJ_2019_4__bin.1"	2543104	2090	"p__Bacteroidota"	142	37	99.73	0.520424343667452	2.33119755911518
"DuanJJ_2019_4__bin.25"	1872809	1899	"p__Cyanobacteriota"	121	23	99.37	0.520951095293973	2.27261632341724
"DuanJJ_2019_4__bin.26"	1813752	1529	"p__Bacteroidota"	94	20	97.35	0.520230389011856	1.59954233409611
"DuanJJ_2019_4__bin.27"	1798008	1839	"p__Bacillota_A"	93	17	62.02	0.544172675557014	1.43935926773455
"DuanJJ_2019_4__bin.28"	2458555	2242	"p__Bacillota_A"	135	14	98.33	0.606291191062052	0.786880244088482
"DuanJJ_2019_4__bin.29"	2362002	2161	"p__Bacillota_A"	131	14	88.16	0.615000704338893	1.32509534706331
"DuanJJ_2019_4__bin.2"	2779495	2208	"p__Bacteroidota"	105	29	91.67	0.512649381760903	3.69138062547674
"DuanJJ_2019_4__bin.30"	1883553	1816	"p__Bacillota"	114	13	91.79	0.556928770044268	1.27154843630816
"DuanJJ_2019_4__bin.31"	2318706	2166	"p__Bacillota_A"	101	21	85.57	0.479604709145201	2.05522501906941
"DuanJJ_2019_4__bin.32"	1903721	1730	"p__Bacillota_A"	102	16	99.29	0.569777553738167	1.50266971777269
"DuanJJ_2019_4__bin.33"	1434333	1406	"p__Bacillota_A"	105	19	60.58	0.531951067975617	1.66422578184592
"DuanJJ_2019_4__bin.34"	1678135	1722	"p__Campylobacterota"	73	25	95.54	0.427428590431275	2.84103737604882
"DuanJJ_2019_4__bin.38"	2269837	2251	"p__Bacillota_A"	118	25	84.56	0.554660854722983	1.51762013729977
"DuanJJ_2019_4__bin.39"	1899356	1956	"p__Bacillota_A"	123	18	81.68	0.550242014785882	1.74385964912281
"DuanJJ_2019_4__bin.40"	2115393	1865	"p__Bacillota_A"	126	16	96.3	0.578708815544098	1.45324180015256
"DuanJJ_2019_4__bin.41"	2583982	2393	"p__Bacillota_A"	153	20	90.51	0.594619801991108	1.28329519450801
"DuanJJ_2019_4__bin.43"	2046763	1874	"p__Bacillota_A"	120	16	97.77	0.561578195264773	1.26712433257056
"DuanJJ_2019_4__bin.44"	2200376	1953	"p__Bacillota_A"	134	16	95.11	0.598086629218786	1.01922196796339
"DuanJJ_2019_4__bin.45"	912393	930	"p__Bacillota"	57	11	67.31	0.454725593243505	1.8044241037376
"DuanJJ_2019_4__bin.46"	1983261	1870	"p__Bacillota_A"	116	20	92.62	0.583385486315321	1.54569031273837
"DuanJJ_2019_4__bin.47"	2990613	2777	"p__Bacillota_A"	150	19	78.66	0.583202499265201	2.08405797101449
"DuanJJ_2019_4__bin.48"	2802631	2520	"p__Bacillota_A"	141	14	80.44	0.591205351972545	1.40091533180778
"DuanJJ_2019_4__bin.49"	1874941	1811	"p__Bacillota_A"	97	16	93.95	0.536079030708819	2.19786422578185
"DuanJJ_2019_4__bin.4"	2413490	2270	"p__Bacillota_A"	111	19	94.54	0.578489733791498	0.806712433257056
"DuanJJ_2019_4__bin.55"	2124192	2068	"p__Bacillota_A"	107	32	94.29	0.543616088831099	1.76140350877193
"DuanJJ_2019_4__bin.57"	2912930	2801	"p__Bacillota_A"	116	20	88.38	0.561620775696069	1.31578947368421
"DuanJJ_2019_4__bin.5"	2096093	2127	"p__Bacillota"	111	18	95.4	0.576153877916613	1.41434019832189
"DuanJJ_2019_4__bin.60"	2135005	1584	"p__Bacteroidota"	110	26	80.52	0.508263848398405	2.29107551487414
"DuanJJ_2019_4__bin.63"	2600322	2111	"p__Bacteroidota"	128	35	95	0.509540750191668	3.54523264683448
"DuanJJ_2019_4__bin.65"	2156903	2025	"p__Bacillota_A"	130	25	88.57	0.595815363658787	2.74858886346301
"DuanJJ_2019_4__bin.67"	1170201	1210	"p__Bacillota"	60	8	65.96	0.480586487644443	0.759877955758963
"DuanJJ_2019_4__bin.68"	2677522	2213	"p__Bacteroidota"	105	25	98.09	0.510889537937478	2.90755148741419
"DuanJJ_2019_4__bin.69"	2022020	1945	"p__Bacillota_A"	107	21	71.03	0.579244875534504	1.42593440122044
"DuanJJ_2019_4__bin.6"	2004453	1946	"p__Bacillota_A"	108	19	85.36	0.548681552787899	1.49656750572082
"DuanJJ_2019_4__bin.71"	2743663	2710	"p__Bacillota_A"	131	23	98.21	0.588845112946052	1.68268497330282
"DuanJJ_2019_4__bin.73"	2690775	2483	"p__Bacillota_A"	141	21	88.36	0.569086919976203	1.84149504195271
"DuanJJ_2019_4__bin.77"	2835138	2633	"p__Bacillota_A"	142	26	71.42	0.564221362065853	1.99282990083905
"DuanJJ_2019_4__bin.79"	2380259	1781	"p__Bacteroidota"	120	19	77.82	0.50881599800668	2.47505720823799
"DuanJJ_2019_4__bin.7"	1457921	1536	"p__Bacillota_A"	118	16	67.54	0.582462037876631	1.03157894736842
"DuanJJ_2019_4__bin.80"	3017324	2444	"p__Bacteroidota"	135	35	98.62	0.548605190898185	2.76414950419527
"DuanJJ_2019_4__bin.81"	2068364	1831	"p__Bacteroidota"	86	26	66.81	0.476092739762084	1.87734553775744
"DuanJJ_2019_4__bin.88"	2723960	2579	"p__Bacillota_A"	171	28	84.95	0.580135619130484	2.19313501144165
"DuanJJ_2019_4__bin.8"	1850267	1717	"p__Bacillota_A"	120	16	99.36	0.602107167199577	1.48954996186117
"DuanJJ_2019_4__bin.90"	2557402	2234	"p__Bacillota_A"	123	19	97.7	0.564921859668532	1.53897787948131
"DuanJJ_2019_4__bin.91"	2074191	1959	"p__Bacillota_A"	131	11	89.41	0.591223607417946	1.28482074752098
"DuanJJ_2019_4__bin.93"	1991476	2032	"p__Bacillota_A"	136	28	80.81	0.553845813039281	3.20839054157132
"DuanJJ_2019_4__bin.95"	2593085	2319	"p__Bacillota_A"	142	18	94.94	0.605386063507924	0.855682684973303
"DuanJJ_2019_4__bin.96"	2070834	1973	"p__Bacillota_A"	92	23	86.84	0.492740903329776	2.27993897787948
"DuanJJ_2019_5__bin.21"	2057506	2075	"p__Bacillota_A"	122	19	71.12	0.511796674418854	1.10816170861937
"DuanJJ_2019_5__bin.24"	2013069	1882	"p__Spirochaetota"	113	16	74.42	0.591159866071685	1.5720823798627
"DuanJJ_2019_5__bin.37"	1918094	1856	"p__Bacillota_A"	96	10	84.05	0.564673074109873	0.863157894736842
"DuanJJ_2019_5__bin.39"	2193370	2123	"p__Fibrobacterota"	115	26	69.41	0.488990857576518	1.93867276887872
"DuanJJ_2019_5__bin.3"	2245445	2050	"p__Bacillota_A"	138	11	95.2	0.565828833349372	1.42654462242563
"DuanJJ_2019_5__bin.40"	830144	800	"p__Spirochaetota"	79	16	62.62	0.45001504656836	1.42288329519451
"DuanJJ_2019_5__bin.42"	2098077	2042	"p__Bacillota_C"	151	27	96.75	0.529781949938425	3.03478260869565
"DuanJJ_2019_5__bin.45"	1551826	1382	"p__Bacteroidota"	65	20	51.04	0.450937739434435	2.11304347826087
"DuanJJ_2019_5__bin.4"	1126337	1090	"p__Bacteroidota"	85	11	57.04	0.477415358664383	0.540045766590389
"DuanJJ_2019_5__bin.58"	1691634	1505	"p__Bacteroidota"	75	20	90.17	0.486909484503446	2.09046529366895
"DuanJJ_2019_5__bin.60"	2557628	2012	"p__Bacteroidota"	116	25	91.29	0.499512570542221	2.31273836765828
"DuanJJ_2019_5__bin.63"	3059963	2720	"p__Bacillota_A"	131	27	91.41	0.577661363228191	1.94263920671243
"DuanJJ_2019_5__bin.66"	1173756	1018	"p__Spirochaetota"	82	12	92.88	0.480036822606842	2.43569794050343
"DuanJJ_2019_F10__bin.11"	2050127	2008	"p__Bacillota_A"	108	21	60.28	0.548946194946597	0.734858886346301
"DuanJJ_2019_F10__bin.1"	2357257	2258	"p__Bacillota_A"	128	20	93.18	0.602035516811193	1.59923722349352
"DuanJJ_2019_F10__bin.27"	2213277	2121	"p__Bacillota_A"	106	16	93.26	0.576660269272886	1.43447749809306
"DuanJJ_2019_F10__bin.29"	1902573	1670	"p__Bacteroidota"	71	20	59.64	0.454489922569212	1.093058733791
"DuanJJ_2019_F10__bin.30"	2871171	2635	"p__Bacillota_A"	114	16	100	0.550565333955574	1.47215865751335
"DuanJJ_2019_F10__bin.32"	2546525	2415	"p__Bacillota_A"	109	17	86.9	0.546967517892431	1.21083142639207
"DuanJJ_2019_F10__bin.33"	1590103	1579	"p__Bacillota_A"	135	30	59.86	0.578302333425897	2.98749046529367
"DuanJJ_2019_F10__bin.35"	1741395	1599	"p__Bacillota_A"	121	22	60.04	0.533229096081538	2.17315026697178
"DuanJJ_2019_F10__bin.37"	1412052	1320	"p__Bacillota_A"	86	16	52.63	0.515089261685984	1.31136536994661
"DuanJJ_2019_F10__bin.39"	1619480	1563	"p__Actinomycetota"	125	17	66.75	0.565647474974611	1.38413424866514
"DuanJJ_2019_F10__bin.42"	2100257	1934	"p__Bacillota_A"	113	14	98.56	0.581290642427314	1.19313501144165
"DuanJJ_2019_F10__bin.4"	1682976	1691	"p__Bacillota_A"	119	23	63.56	0.549204488695383	1.58977879481312
"DuanJJ_2019_F10__bin.53"	2874593	2612	"p__Bacillota_A"	150	28	97.08	0.561510735625478	2.36369183829138
"DuanJJ_2019_F10__bin.55"	2009370	1973	"p__Bacillota_C"	168	26	99.69	0.503686395870307	2.26788710907704
"DuanJJ_2019_F10__bin.57"	3040806	2341	"p__Bacteroidota"	118	31	91.88	0.522065429562091	2.79511823035851
"DuanJJ_2019_F10__bin.59"	2206166	2177	"p__Bacillota_A"	109	20	82.24	0.548578746271078	2.0790236460717
"DuanJJ_2019_F10__bin.61"	2065673	2029	"p__Bacillota_A"	134	17	60.65	0.564206832364536	1.15225019069413
"DuanJJ_2019_F10__bin.64"	1733383	1614	"p__Bacillota_A"	106	13	97.15	0.564620643816552	1.19893211289092
"DuanJJ_2019_F10__bin.65"	1948729	1774	"p__Actinomycetota"	121	16	85.75	0.529255393149733	2.11075514874142
"DuanJJ_2019_F10__bin.66"	1262700	1155	"p__Actinomycetota"	84	11	90.44	0.527980328810047	1.65736079328757
"DuanJJ_2019_F10__bin.67"	2492348	2347	"p__Bacillota_A"	136	23	78.61	0.571043853967384	1.97559115179252
"DuanJJ_2019_F10__bin.69"	1846274	1749	"p__Bacillota_A"	127	19	77.68	0.552054408162267	1.19740655987796
"DuanJJ_2019_F11__bin.12"	1403942	1387	"p__Actinomycetota"	106	18	56.05	0.570284038651517	0.948588863463005
"DuanJJ_2019_F11__bin.13"	2362023	2239	"p__Actinomycetota"	177	29	98.35	0.535123303857543	2.5025171624714
"DuanJJ_2019_F11__bin.18"	1449276	1362	"p__Actinomycetota"	80	16	82.49	0.495375620423531	1.88283752860412
"DuanJJ_2019_F11__bin.1"	2562912	2353	"p__Actinomycetota"	185	28	97.17	0.519504045898944	2.15225019069413
"DuanJJ_2019_F11__bin.22"	1187379	1263	"p__Bacillota_A"	99	25	54.52	0.528625049611138	2.64302059496567
"DuanJJ_2019_F11__bin.23"	2908039	2300	"p__Bacteroidota"	118	31	94.16	0.519352952179767	3.29092295957285
"DuanJJ_2019_F11__bin.24"	2196064	2153	"p__Bacillota"	204	35	85.44	0.469225667063686	3.49000762776506
"DuanJJ_2019_F11__bin.27"	1611817	1574	"p__Campylobacterota"	61	28	99.63	0.4171583590775	2.22364607170099
"DuanJJ_2019_F11__bin.33"	1961882	2040	"p__Bacillota_A"	93	17	53.89	0.542626425294508	0.748893974065599
"DuanJJ_2019_F11__bin.39"	2368745	2137	"p__Bacillota_A"	134	19	93.51	0.594381456126218	1.78398169336384
"DuanJJ_2019_F11__bin.47"	1789990	1939	"p__Bacillota"	64	12	77.93	0.506692479846743	0.829138062547674
"DuanJJ_2019_F11__bin.48"	2069267	2080	"p__Bacillota"	110	22	69.96	0.521690642523539	1.99267734553776
"DuanJJ_2019_F11__bin.4"	1918558	1761	"p__Bacillota_A"	114	13	97.85	0.599570531937867	1.07414187643021
"DuanJJ_2019_F11__bin.50"	1918172	1631	"p__Bacteroidota"	85	18	72.12	0.505930098299427	1.01144164759725
"DuanJJ_2019_F11__bin.52"	1637213	1640	"p__Bacillota_A"	79	18	60.77	0.561284667822232	2.42090007627765
"DuanJJ_2019_F11__bin.57"	1667109	1464	"p__Pseudomonadota"	93	24	93.02	0.471352004368493	2.02639206712433
"DuanJJ_2019_F11__bin.5"	2379397	2113	"p__Actinomycetota"	177	26	99.26	0.537707020585889	2.30526315789474
"DuanJJ_2019_F11__bin.60"	1441038	1243	"p__Spirochaetota"	85	17	94.82	0.478577013565527	2.42074752097635
"DuanJJ_2019_F11__bin.6"	1277941	1364	"p__Bacillota_A"	84	16	55.98	0.50386764138216	2.00778032036613
"DuanJJ_2019_F11__bin.7"	2367215	2057	"p__Actinomycetota"	183	28	99.99	0.520478641809219	1.67032799389779
"DuanJJ_2019_F13__bin.13"	4556672	3690	"p__Bacteroidota"	134	27	97.91	0.486420924033158	3.64881769641495
"DuanJJ_2019_F13__bin.15"	2235259	1867	"p__Bacteroidota"	94	24	76.88	0.51988267490695	2.22898550724638
"DuanJJ_2019_F13__bin.18"	2892265	2297	"p__Bacteroidota"	121	33	87.52	0.536726633946858	3.05476735316552
"DuanJJ_2019_F13__bin.21"	2693185	2120	"p__Bacteroidota"	114	24	98.44	0.498833263664997	1.93699466056445
"DuanJJ_2019_F13__bin.26"	2374861	2341	"p__Spirochaetota"	163	22	74.57	0.558512890436963	3.08634630053394
"DuanJJ_2019_F13__bin.27"	2607180	2460	"p__Bacillota_A"	123	14	98.67	0.590728229095472	1.36155606407323
"DuanJJ_2019_F13__bin.2"	1027135	1127	"p__Bacillota_A"	88	15	54.29	0.556340901542215	0.888329519450801
"DuanJJ_2019_F13__bin.30"	2240778	2158	"p__Bacillota_A"	142	20	95.84	0.592851669433169	2.24317315026697
"DuanJJ_2019_F13__bin.35"	2689970	2148	"p__Bacteroidota"	96	26	98.47	0.519340191495696	2.70602593440122
"DuanJJ_2019_F13__bin.37"	2095736	1956	"p__Bacillota_A"	142	20	95.53	0.597871449563852	2.28115942028986
"DuanJJ_2019_F13__bin.39"	2378001	2283	"p__Bacillota_A"	128	16	77.62	0.592496258557254	1.59832189168574
"DuanJJ_2019_F13__bin.47"	1942616	1668	"p__Bacteroidota"	85	21	83.05	0.457682251781102	1.94019832189169
"DuanJJ_2019_F13__bin.48"	1526373	1466	"p__Pseudomonadota"	135	23	95.32	0.490008346160945	1.62242562929062
"DuanJJ_2019_F13__bin.50"	3170047	2878	"p__Fibrobacterota"	101	25	99.37	0.479615550570468	2.12295957284516
"DuanJJ_2019_F13__bin.51"	2058375	1919	"p__Bacillota_A"	136	20	90.98	0.60046537625926	1.8698703279939
"DuanJJ_2019_F13__bin.57"	2566806	2362	"p__Bacillota_A"	126	20	99.18	0.56744040498759	1.66193745232647
"DuanJJ_2019_F13__bin.58"	1760199	1797	"p__Bacillota_A"	97	16	58.56	0.55662190965006	1.19130434782609
"DuanJJ_2019_F13__bin.60"	933516	980	"p__Bacillota"	63	11	85.72	0.502935826925071	0.905263157894737
"DuanJJ_2019_F13__bin.67"	1680975	1707	"p__Bacillota_A"	84	13	84.53	0.534479460538875	1.02745995423341
"DuanJJ_2019_F13__bin.6"	1932212	1731	"p__Bacillota_A"	95	22	95.9	0.539028443383391	2.72799389778795
"DuanJJ_2019_F13__bin.70"	2042960	1789	"p__Bacteroidota"	114	32	97.83	0.478424197129127	1.9862700228833
"DuanJJ_2019_F13__bin.71"	2323602	1960	"p__Campylobacterota"	111	35	96.48	0.460828265018567	2.29504195270786
"DuanJJ_2019_F13__bin.72"	2555101	2123	"p__Bacteroidota"	99	35	77.55	0.516845484721398	3.93562166285278
"DuanJJ_2019_F13__bin.73"	2483498	2261	"p__Bacillota_A"	113	19	99.85	0.596447605295932	0.402288329519451
"DuanJJ_2019_F13__bin.74"	1884907	1768	"p__Bacillota_A"	120	19	96.47	0.598658542672615	1.66422578184592
"DuanJJ_2019_F13__bin.75"	1701268	1748	"p__Bacillota_A"	119	15	62.85	0.574252768323515	0.998932112890923
"DuanJJ_2019_F13__bin.76"	2725776	2573	"p__Bacillota_A"	106	20	83.07	0.559125106687395	1.51594202898551
"DuanJJ_2019_F13__bin.81"	2006706	1879	"p__Bacillota_C"	171	38	83.15	0.509639095036043	2.53272311212815
"DuanJJ_2019_F13__bin.85"	1871795	1792	"p__Bacillota_A"	116	16	89.8	0.594161319299063	1.31899313501144
"DuanJJ_2019_F13__bin.86"	2656318	2142	"p__Bacteroidota"	117	28	98.11	0.51512053468637	2.55087719298246
"DuanJJ_2019_F13__bin.87"	2773668	2524	"p__Spirochaetota"	97	9	97.73	0.577111328130051	0.72372234935164
"DuanJJ_2019_F13__bin.88"	2780211	2624	"p__Bacillota_A"	137	24	84.83	0.586466212017753	1.45354691075515
"DuanJJ_2019_F13__bin.9"	2491014	2366	"p__Bacillota_A"	129	17	87.24	0.609390188413774	1.32829900839054
"DuanJJ_2019_F16__bin.10"	1392946	1421	"p__Bacillota_A"	100	16	72.81	0.499953497961707	1.46620900076278
"DuanJJ_2019_F16__bin.11"	1929606	1886	"p__Bacillota_A"	126	25	84.3	0.529279516653716	2.13806254767353
"DuanJJ_2019_F16__bin.14"	1912571	1902	"p__Desulfobacterota"	108	30	71.6	0.489749083863307	2.80610221205187
"DuanJJ_2019_F16__bin.15"	2296650	2114	"p__Bacillota_C"	173	27	99.85	0.516124492272261	2.06300533943555
"DuanJJ_2019_F16__bin.18"	3059613	2648	"p__Bacillota_A"	144	22	98.32	0.594970659844135	2.13394355453852
"DuanJJ_2019_F16__bin.19"	1831387	1952	"p__Pseudomonadota"	204	33	73.05	0.442208502503768	2.63051106025934
"DuanJJ_2019_F16__bin.22"	2562453	2126	"p__Desulfobacterota"	131	27	87	0.472481391253886	3.15179252479024
"DuanJJ_2019_F16__bin.23"	1659458	1671	"p__Bacillota_A"	117	20	77.96	0.489681853052714	2.51899313501144
"DuanJJ_2019_F16__bin.24"	2668098	2387	"p__Bacteroidota"	106	26	75.41	0.462089449372149	2.71960335621663
"DuanJJ_2019_F16__bin.25"	4124640	3871	"p__Bacillota_A"	132	26	66.02	0.535030554322317	2.44942791762014
"DuanJJ_2019_F16__bin.27"	1706811	1734	"p__Bacillota"	139	24	77.51	0.568974458617971	1.48436308161709
"DuanJJ_2019_F16__bin.28"	2138951	2104	"p__Bacillota_A"	120	11	74.16	0.567447427424561	0.897177726926011
"DuanJJ_2019_F16__bin.33"	2934950	2699	"p__Bacillota_A"	159	20	83.83	0.573718818933263	2.25171624713959
"DuanJJ_2019_F16__bin.35"	2330283	2377	"p__Bacillota_A"	142	21	71.11	0.571563044773932	1.47063310450038
"DuanJJ_2019_F16__bin.37"	1821449	1653	"p__Actinomycetota"	100	23	59.46	0.533127710222074	1.83691838291381
"DuanJJ_2019_F16__bin.38"	2031316	1747	"p__Actinomycetota"	122	22	72.63	0.551029748411903	1.45980167810831
"DuanJJ_2019_F16__bin.41"	2008290	1805	"p__Bacillota_A"	125	23	91.04	0.583680566556337	1.38093058733791
"DuanJJ_2019_F16__bin.42"	1375536	1318	"p__Bacillota_A"	98	24	79.69	0.52021805167854	1.52402745995423
"DuanJJ_2019_F16__bin.46"	2841583	2555	"p__Desulfobacterota"	136	31	97.23	0.495610992002083	2.60091533180778
"DuanJJ_2019_F16__bin.49"	2200095	2081	"p__Bacillota_C"	180	30	99.15	0.495002584008258	2.67231121281465
"DuanJJ_2019_F16__bin.51"	3170622	3002	"p__Bacillota_A"	169	30	53.76	0.53695163844567	1.58184591914569
"DuanJJ_2019_F16__bin.53"	1971976	1977	"p__Pseudomonadota"	199	35	79.91	0.477456505345002	3.07704042715484
"DuanJJ_2019_F16__bin.55"	1719953	1718	"p__Bacillota"	127	17	98.73	0.516259126311634	1.70007627765065
"DuanJJ_2019_F16__bin.56"	1343551	1265	"p__Bacillota_A"	77	20	70.23	0.51967970870724	1.78901601830664
"DuanJJ_2019_F16__bin.58"	1182925	1226	"p__Bacillota_A"	99	17	61.06	0.474651532517664	1.93302822273074
"DuanJJ_2019_F16__bin.59"	2597255	2519	"p__Bacillota_A"	102	25	95.3	0.536143768506913	1.22684973302822
"DuanJJ_2019_F16__bin.5"	2946887	2533	"p__Desulfobacterota"	152	36	90.62	0.501974385754141	2.98291380625477
"DuanJJ_2019_F16__bin.60"	2205219	2169	"p__Bacillota_B"	119	24	95.71	0.580380467488141	2.52890922959573
"DuanJJ_2019_F16__bin.62"	2099773	1955	"p__Bacillota_A"	126	26	99.92	0.553402510135163	2.12006102212052
"DuanJJ_2019_F16__bin.66"	2135104	2141	"p__Bacillota_A"	106	21	95.79	0.498533606880148	1.1534706331045
"DuanJJ_2019_F16__bin.6"	2268865	2185	"p__Bacillota_A"	111	26	92.47	0.56964183328219	1.7395881006865
"DuanJJ_2019_F16__bin.9"	2241999	2255	"p__Bacillota_A"	123	18	82.26	0.548809707196628	2.64332570556827
"DuanJJ_2019_F3__bin.12"	1738744	1700	"p__Bacillota"	131	17	78.87	0.544136179604687	1.68909229595728
"DuanJJ_2019_F3__bin.1"	2376620	2052	"p__Actinomycetota"	149	30	96.82	0.531340724399797	1.73333333333333
"DuanJJ_2019_F3__bin.21"	1508073	1566	"p__Bacillota"	90	15	72.79	0.519242365302617	1.07551487414188
"DuanJJ_2019_F3__bin.24"	1823546	1832	"p__Bacillota_A"	94	17	74.97	0.569170321780977	1.17864225781846
"DuanJJ_2019_F3__bin.2"	1993876	1849	"p__Bacillota_C"	149	34	98.71	0.544649655783821	2.42456140350877
"DuanJJ_2019_F3__bin.41"	1304052	1268	"p__Bacillota_A"	99	13	64.19	0.557783226558447	0.999237223493516
"DuanJJ_2019_F3__bin.42"	1387250	1460	"p__Bacillota"	58	9	90.9	0.463605361393398	0.633257055682685
"DuanJJ_2019_F3__bin.44"	1693748	1675	"p__Bacillota_A"	134	22	68.31	0.577475825694656	0.747368421052632
